"stn_id","stn_name","date","PRCP","TAVG"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-21","0.0","30.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-22","0.0","30.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-23","0.0","29.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-24","0.3","29.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-25","0.3","26.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-26","11.9","25.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-27","0.0","25.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-28","0.3","26.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-29","0.0","27.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-30","0.0","28.5"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-31","0.0","28.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-01","0.0","30.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-02","0.0","30.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-03","0.0","30.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-04","0.0","30.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-05","0.0","29.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-06","0.0","27.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-07","0.0","26.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-08","0.0","25.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-09","0.0","25.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-10","0.0","25.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-11","0.5","27.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-12","0.0","28.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-13","1.3","27.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-14","0.0","25.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-15","0.0","21.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-16","0.0","22.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-17","0.0","26.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-18","0.0","26.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-19","0.0","26.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-20","0.0","28.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-21","0.0","27.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-22","0.0","27.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-23","0.0","25.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-24","0.0","26.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-25","0.0","26.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-26","0.0","28.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-27","0.0","28.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-28","0.0","28.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-29","0.0","28.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-30","0.0","29.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-08-31","0.0","26.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-01","0.0","25.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-02","0.0","25.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-03","0.0","27.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-04","0.0","27.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-05","0.0","27.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-06","0.0","26.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-07","0.0","26.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-08","0.0","27.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-09","0.3","23.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-10","0.0","23.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-11","0.0","24.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-12","0.0","25.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-13","0.5","25.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-14","1.0","23.5"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-15","10.9","17.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-16","0.0","14.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-17","0.0","15.5"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-18","0.0","20.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-19","3.3","16.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-20","0.0","14.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-21","13.0","14.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-22","0.3","7.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-23","10.2","8.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-24","12.4","8.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-25","0.0","9.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-26","0.0","11.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-27","0.0","13.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-28","0.0","15.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-29","0.0","17.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-09-30","0.0","16.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-01","1.5","12.5"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-02","1.0","8.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-03","0.0","7.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-04","0.0","14.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-05","0.0","11.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-06","0.0","11.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-07","0.0","14.5"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-08","0.3","13.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-09","0.0","7.5"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-10","0.0","9.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-11","0.0","15.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-12","0.0","12.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-13","0.0","9.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-14","1.3","8.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-15","0.0","6.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-16","0.0","8.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-17","0.0","11.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-18","0.0","11.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-19","0.0","13.5"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-20","0.5","16.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-21","0.0","7.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-22","0.0","11.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-23","0.0","14.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-24","0.0","11.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-25","0.0","11.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-26","0.0","10.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-27","0.0","10.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-10-28","0.0","10.7"
